Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
Q9CPQ3	11	Tomm22	1.0	20.921825041401494	20.687006013443174	21.004905563846197	21.322622633602382	21.42526442017072	21.18188850097764	21.232503045712683	21.179288117255233	20.99212205437676	16.731830061826674	16.740432019631946	NA	NA	NA	NA	NA	NA
Q9CPQ8	8	Atp5mg	1.0	21.37700226470357	21.07342686409511	21.40333932702091	21.941703824751503	21.68256864644923	21.89282579934413	21.754264911452804	21.719972091835718	21.589519175027334	17.367219872469622	17.00894279495037	NA	NA	NA	NA	NA	NA
Q9CPR4	2	Rpl17	0.9649	19.14285885067189	19.240228787099333	19.20818195995781	19.468502450651833	19.53143909838986	19.451789024715143	19.371495862664506	19.479325951185558	19.73426676988741	15.289541082760172	15.219052299196235	NA	NA	NA	NA	NA	NA
Q9CPU0	4	Glo1	0.9952	20.115372151036468	19.52615566428114	19.99507646227364	20.373593571632835	20.269547012057004	20.288247693333417	20.294681082850005	20.3008192613342	20.501096356155674	15.886362018496863	15.497179619514302	NA	NA	NA	NA	NA	NA
Q9CPU4	6	Mgst3	1.0	19.674532837718463	19.23589540457791	19.650313065114013	20.216278085543994	20.131811893889278	20.076508491395472	20.067967553018335	19.84016835138973	19.603184830272564	15.236483965870125	15.196695158263742	NA	NA	NA	NA	NA	NA
Q9CPV4	6	Glod4	1.0	20.246974686861062	19.94733337267785	20.29402119317816	20.65642287737851	20.540775306705257	20.522572568762985	20.494316848055856	20.523358914891563	20.543554007888112	16.41341220637244	16.147910137027182	NA	NA	NA	NA	NA	NA
Q9CPW0	4	Cntnap2	1.0	18.979399564620056	18.940400691213632	18.910497450721582	19.36550770836969	19.351251244789466	19.411889437772448	19.235013999868325	18.78349672724419	19.1173325390941	14.94180390165455	14.75205844492658	NA	NA	NA	NA	NA	NA
Q9CPX6	2	Atg3	0.9828	17.532037895108186	17.269435501084143	17.585439455560113	17.95584177241307	17.997430175438943	18.04890897586639	18.014451590079773	17.91799625386342	17.7525107546853	13.527535852029647	12.82887407184896	NA	NA	NA	NA	NA	NA
Q9CPY7	5	Lap3	1.0	20.384261267112446	20.0105674820051	20.37396947595924	20.851616492003238	20.59281911218399	20.444025899012928	20.36168384502807	20.432853922816467	20.501509217747188	16.00375286399423	16.815303654568478	NA	NA	NA	NA	NA	NA
Q9CQ26	1	Stambp	0.9988	13.816403414082753	12.531666651280819	13.75349822682297	14.105562888535054	14.166161499008043	14.081652327785909	13.78534526934243	13.661243506578817	13.896878837936768	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQ54	5	Ndufc2	1.0	23.013635435215846	22.924342609651266	23.24373627346906	23.399304514606424	23.41181729956505	23.370199478242103	23.544227631850326	23.317608362936994	23.21976873221417	18.828732495141736	18.50129520891435	NA	NA	NA	NA	NA	NA
Q9CQ60	1	Pgls	0.9996	12.296965801740692	12.006134242933506	12.22056278343666	12.781814835242306	12.949634316483074	12.693401076943216	12.620458360550868	12.710150954182156	12.508142722387078	8.542896975939396	9.37183871773214	NA	NA	NA	NA	NA	NA
Q9CQ62	2	Decr1	0.9812	18.514168581638632	18.368753324878785	18.61645922893814	19.13406718221291	19.026685943571984	18.899814997522835	18.737091529105285	18.77779508932607	18.88404869669561	13.694150807875694	13.859445349306379	NA	NA	NA	NA	NA	NA
Q9CQ69	17	Uqcrq	1.0	22.963088041513345	22.876918220305498	23.027592091693485	23.45263796554747	23.359064657979186	23.429854062216847	23.28347260458194	23.146085563523208	23.19501285216042	18.347585669687803	18.797117143114153	NA	NA	NA	NA	NA	NA
Q9CQ75	13	Ndufa2	1.0	22.033085308767856	22.035778564890098	22.047267741038645	22.449572440111485	22.32850619322682	22.41008515071318	22.436674353614006	22.221586157382035	22.331908773046376	17.220509296605478	17.294677157766124	17.41789454190919	NA	NA	NA	NA	NA
Q9CQ85	2	Timm22	0.9995	18.83018684548424	18.713930089371026	19.0145572527104	19.36572000924969	19.24603831275756	19.173092284633686	19.303791379107818	19.12133113056262	19.07274575269015	14.349516233878985	14.386272718097386	NA	NA	NA	NA	NA	NA
